,Dormitorios,Superficie,Num_baños,Metro,Renfe,Tipo_de_inmueble,Año_de_construccion,Calefaccion,Etiqueta,Aire acondicionado,Ascensor,Jardin,Tipo,distrito/ciudad,Latitud,Longitud,Precio,residuos
68,3.0,63.0,1.0,1.0,1.0,Popular,1969.0,1.0,G,0.0,0.0,0.0,piso,Universidad,40.425426,-3.7060234,134000.0,36020.0
69,3.0,90.0,1.0,0.0,0.0,Señorial,1984.0,1.0,En proceso,1.0,0.0,0.0,piso,Móstoles,40.3238525,-3.8649214,178000.0,10624.0
70,3.0,128.0,2.0,0.0,0.0,Media,2003.0,1.0,En proceso,0.0,1.0,0.0,piso,Arroyomolinos,40.27,-3.9178,179000.0,3282.0
71,3.0,78.0,1.0,1.0,1.0,Popular,1978.0,0.0,E,0.0,1.0,0.0,piso,Fuenlabrada,40.282476,-3.7923422,169000.0,36564.0
72,2.0,57.0,1.0,1.0,0.0,Señorial,1955.0,0.0,En proceso,0.0,0.0,0.0,piso,Carabanchel,40.3742112,-3.744676,149900.0,19660.0
73,2.0,55.0,1.0,1.0,0.0,Popular,1962.0,0.0,E,1.0,1.0,0.0,piso,Moscardo,40.3890429,-3.7057718,162000.0,24582.0
74,3.0,78.0,1.0,1.0,1.0,Popular,1970.0,1.0,F,0.0,0.0,0.0,piso,Móstoles,40.3238525,-3.8649214,131000.0,15556.0
75,1.0,26.0,1.0,1.0,0.0,Popular,1905.0,0.0,E,0.0,0.0,0.0,piso,Bellas Vistas,40.4526848,-3.7072396,150000.0,62816.0
76,2.0,48.0,1.0,1.0,0.0,Media,1970.0,1.0,G,1.0,0.0,0.0,piso,Leganés,40.3281942,-3.76527,116000.0,37084.0
77,3.0,65.0,1.0,1.0,0.0,Popular,1960.0,0.0,En proceso,0.0,1.0,0.0,piso,vinateros,40.4051965,-3.6415467,208000.0,1838.0
78,3.0,68.0,1.0,1.0,1.0,Media,1965.0,1.0,En proceso,0.0,0.0,0.0,piso,Villa de Vallecas,40.3739576,-3.6121632,137260.0,7068.0
79,3.0,118.0,2.0,0.0,0.0,De época,2005.0,0.0,En proceso,1.0,0.0,0.0,piso,Loeches,40.3837901,-3.4092281,189900.0,1348.0
80,2.0,72.0,1.0,0.0,1.0,Popular,1971.0,1.0,En proceso,0.0,0.0,0.0,piso,Collado Villalba,40.6431496,-3.9930128,145000.0,24242.0
81,2.0,56.0,1.0,1.0,1.0,Popular,1900.0,0.0,D,0.0,1.0,0.0,piso,Cortes,40.4149,-3.6973,325000.0,130212.0
82,1.0,44.0,1.0,1.0,1.0,Popular,1900.0,0.0,En proceso,0.0,0.0,0.0,piso,Palacio,40.4153295,-3.7147092,259000.0,52326.0
83,3.0,75.0,1.0,1.0,0.0,Señorial,1972.0,1.0,F,0.0,1.0,0.0,piso,Coslada,40.423802,-3.5552882,125000.0,43166.0
84,2.0,97.0,2.0,0.0,0.0,Popular,2009.0,1.0,En proceso,0.0,1.0,0.0,piso,Guadarrama,40.6734454,-4.0893911,229000.0,23862.0
85,3.0,75.0,2.0,1.0,0.0,Media,1972.0,1.0,E,0.0,1.0,0.0,piso,Fuente del Berro,40.424977,-3.6636998,340000.0,62920.0
86,2.0,60.0,1.0,1.0,0.0,Popular,1967.0,1.0,C,1.0,1.0,0.0,piso,Latina,40.3914,-3.7576,318000.0,139840.0
87,3.0,180.0,2.0,1.0,1.0,Señorial,2000.0,0.0,En proceso,0.0,0.0,0.0,atico,Móstoles,40.3238525,-3.8649214,337000.0,107148.0
88,4.0,82.0,1.0,1.0,1.0,Popular,1969.0,1.0,En proceso,1.0,1.0,0.0,piso,Embajadores,40.4095856,-3.7029851,310000.0,48304.0
89,3.0,81.0,1.0,1.0,0.0,Popular,1974.0,0.0,En proceso,1.0,1.0,0.0,piso,Canillejas,40.4416267,-3.6093074,189000.0,15052.0
90,3.0,96.0,2.0,0.0,1.0,Popular,1995.0,0.0,E,0.0,1.0,0.0,piso,Las Rozas De Madrid,40.4933095,-3.8758396,315000.0,8946.0
91,2.0,57.0,1.0,1.0,0.0,Media,1961.0,0.0,E,0.0,0.0,0.0,piso,San Isidro,40.3952,-3.7293,105000.0,33216.0
92,4.0,250.0,3.0,0.0,0.0,Popular,2000.0,1.0,E,1.0,0.0,1.0,casa,Alcalá de Henares,40.4818396,-3.3644973,424000.0,71078.0
93,1.0,73.0,1.0,1.0,0.0,Señorial,1960.0,1.0,E,0.0,1.0,0.0,piso,Pinar del Rey,40.4724696,-3.6489613,280000.0,18842.0
94,2.0,118.0,2.0,0.0,0.0,Popular,2014.0,1.0,E,0.0,1.0,0.0,piso,Collado Villalba,40.6431496,-3.9930128,259000.0,8166.0
95,2.0,60.0,1.0,0.0,1.0,Popular,1990.0,0.0,E,0.0,0.0,0.0,piso,Las Rozas De Madrid,40.4933095,-3.8758396,195000.0,1038.0
96,3.0,78.0,1.0,1.0,0.0,Popular,1930.0,1.0,E,0.0,1.0,0.0,piso,chamberí,40.4389621,-3.705302,549000.0,82666.0
97,2.0,65.0,1.0,1.0,0.0,Popular,1972.0,1.0,E,1.0,1.0,0.0,piso,Coslada,40.423802,-3.5552882,149000.0,20162.0
98,3.0,204.0,2.0,0.0,0.0,Media,2000.0,1.0,En proceso,1.0,0.0,0.0,casa,Daganzo de Arriba,40.5451953,-3.45785,389900.0,24428.0
99,4.0,150.0,2.0,1.0,1.0,Media,1983.0,0.0,E,0.0,1.0,0.0,piso,Alcorcón,40.3492998,-3.8284295,310900.0,27338.0
100,4.0,151.0,2.0,0.0,0.0,Popular,1992.0,1.0,E,0.0,1.0,0.0,piso,Torrejón de Ardoz,40.4587767,-3.4793343,239900.0,77210.0
101,3.0,67.0,1.0,1.0,0.0,Popular,1965.0,0.0,E,0.0,0.0,0.0,piso,Portazgo,40.3914367,-3.6481261,139000.0,23378.0
102,2.0,52.0,1.0,1.0,0.0,Popular,1960.0,0.0,En proceso,0.0,0.0,0.0,piso,Ventas,40.4310642,-3.6635419,148000.0,396.0
103,3.0,105.0,2.0,0.0,0.0,Popular,1980.0,1.0,E,0.0,0.0,0.0,piso,Guadarrama,40.6734454,-4.0893911,162000.0,35742.0
104,3.0,74.0,1.0,0.0,1.0,Popular,1972.0,0.0,En proceso,0.0,0.0,0.0,piso,Parla,40.2373952,-3.7718902,140000.0,47262.0
105,2.0,61.0,1.0,0.0,0.0,Media,1972.0,0.0,E,0.0,1.0,0.0,piso,Alcalá de Henares,40.4818396,-3.3644973,129900.0,38390.0
106,2.0,69.0,2.0,1.0,0.0,Popular,1975.0,1.0,E,0.0,1.0,0.0,piso,Aluche,40.392356,-3.7571096,168000.0,49100.0
107,4.0,106.0,2.0,1.0,0.0,Popular,1995.0,0.0,En proceso,1.0,0.0,0.0,piso,Concepción,40.4395,-3.6479,349000.0,65938.0
108,3.0,67.0,1.0,1.0,1.0,Popular,1974.0,0.0,G,0.0,0.0,0.0,piso,Fuenlabrada,40.282476,-3.7923422,130000.0,37928.0
109,3.0,65.0,1.0,0.0,1.0,Popular,1970.0,0.0,En proceso,0.0,1.0,0.0,piso,Alcalá de Henares,40.4818396,-3.3644973,118900.0,2454.0
110,3.0,115.0,2.0,1.0,0.0,Media,1980.0,1.0,E,1.0,1.0,0.0,piso,Móstoles,40.3238525,-3.8649214,219900.0,25172.0
111,3.0,106.0,1.0,1.0,0.0,Media,1981.0,1.0,En proceso,0.0,1.0,0.0,piso,Portazgo,40.3914367,-3.6481261,147999.0,57247.0
112,2.0,96.0,1.0,0.0,0.0,Media,2005.0,1.0,En proceso,0.0,0.0,0.0,piso,Meco,40.553746,-3.3281561,165000.0,18582.0
